Source,URL,URL Type,Category
https://www.usf.edu,https://www.googletagmanager.com/gtm.js?id=,Complete URL,Script/Style
https://www.usf.edu,https://fonts.googleapis.com,Complete URL,Webpage
https://www.usf.edu,https://fonts.gstatic.com,Complete URL,Webpage
https://www.usf.edu,https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@400;600&family=Open+Sans:wght@400;600;700&display=swap,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu,Complete URL,Webpage
https://www.usf.edu,https://www.googletagmanager.com/ns.html?id=GTM-5P4W3C4,Complete URL,Webpage
https://www.usf.edu,http://www.usf.edu/usfalerts,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/_resources/images/v3/global/png/search.png,Complete URL,Image
https://www.usf.edu,https://giving.usf.edu/,Complete URL,Webpage
https://www.usf.edu,https://jobs.usf.edu/,Complete URL,Webpage
https://www.usf.edu,https://health.usf.edu/education,Complete URL,Webpage
https://www.usf.edu,https://gousfbulls.com,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/students.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/faculty-staff.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/alumni.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/parents-family.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/community.aspx,Complete URL,Webpage
https://www.usf.edu,https://my.usf.edu/,Complete URL,Webpage
https://www.usf.edu,https://directory.usf.edu/,Complete URL,Webpage
https://www.usf.edu,https://www.youtube.com/embed/uYL9b_Fji2k?enablejsapi=1&amp;html5=1&amp;controls=0&amp;showinfo=0&amp;rel=0&amp;autoplay=1&amp;loop=1&amp;playlist=uYL9b_Fji2k&amp;mute=1,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/majors,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/financial-aid/cost-of-attendance/index.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/admissions/index.aspx?utm_source=apply&amp;utm_medium=call-to-action&amp;utm_campaign=usfhomepage,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/about-usf/visit-usf.aspx?utm_source=visit-usf&amp;utm_medium=call-to-action&amp;utm_campaign=usfhomepage,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/news/2025/usf-research-funding-surges-to-record-750-million-increasing-impact-across-florida-and-beyond.aspx,Complete URL,Webpage
https://www.usf.edu,https://www.usf.edu/news/2025/usf-football-has-arrived-bulls-celebrate-breakout-football-season-on-espn.aspx,Complete URL,Webpage
